S. Number,Constituency Name,Winner,State,Winner Party,Margin
444,Dhaurahra,Anand Bhadauriya,Uttar Pradesh,SP,"4,449"
445,Sitapur,Rakesh Rathor,Uttar Pradesh,Congress,"89,641"
446,Hardoi,Jai Prakash Rawat,Uttar Pradesh,BJP,"27,856"
447,Misrikh,Ashok Kumar Rawat,Uttar Pradesh,BJP,"33,406"
448,Unnao,Swami Sachchidanand Hari Sakshi,Uttar Pradesh,BJP,"35,818"
449,Mohanlalganj,RK Chaudhary,Uttar Pradesh,SP,"70,292"
450,Lucknow,Rajnath Singh,Uttar Pradesh,BJP,"1,35,159"
451,Rae Bareli,Rahul Gandhi,Uttar Pradesh,Congress,"3,90,030"
452,Amethi,Kishori Lal Sharma,Uttar Pradesh,Congress,"1,67,196"
453,Sultanpur,Rambhual Nishad,Uttar Pradesh,SP,"43,174"
454,Pratapgarh,Dr Shiv Pal Singh Patel,Uttar Pradesh,SP,"66,206"
455,Farrukhabad,Mukesh Rajput,Uttar Pradesh,BJP,"2,678"
456,Etawah,Jitendra Kumar Dohare,Uttar Pradesh,SP,"58,419"
457,Kannauj,Akhilesh Yadav,Uttar Pradesh,SP,"1,70,922"
458,Kanpur,Ramesh Awasthi,Uttar Pradesh,BJP,"20,968"
459,Akbarpur,Devendra Singh alias Bhole Singh,Uttar Pradesh,BJP,"44,345"
460,Jalaun,Narayan Das Ahirwar,Uttar Pradesh,SP,"53,898"
461,Jhansi,Anurag Sharma,Uttar Pradesh,BJP,"1,02,614"
462,Hamirpur,Ajendra Singh Lodhi,Uttar Pradesh,SP,"2,629"
463,Banda,Krishna Devi Shivshanker Patel,Uttar Pradesh,SP,"71,210"
464,Fatehpur,Naresh Chandra Uttam Patel,Uttar Pradesh,SP,"33,199"
465,Kaushambi,Pushpendra Saroj,Uttar Pradesh,SP,"1,03,944"
466,Phulpur,Praveen Patel,Uttar Pradesh,BJP,"4,332"
467,Allahabad (Prayagraj),Ujjwal Raman Singh,Uttar Pradesh,Congress,"58,795"
468,Barabanki,Tanuj Punia,Uttar Pradesh,Congress,"2,15,704"
469,Faizabad,Awadhesh Prasad,Uttar Pradesh,SP,"54,567"
470,Ambedkar Nagar,Lalji Verma,Uttar Pradesh,SP,"1,37,247"
471,Baharaich,Anand Kumar,Uttar Pradesh,BJP,"64,227"
472,Kaiserganj,Karan Bhushan Singh,Uttar Pradesh,BJP,"1,48,843"
473,Shrawasti,Ram Shiromani Verma,Uttar Pradesh,SP,"76,673"
474,Gonda,Kirtivardhan Singh,Uttar Pradesh,BJP,"46,224"
475,Domariyaganj,Jagdambika Pal,Uttar Pradesh,BJP,"42,728"
476,Basti,Ram Prasad Chaudhary,Uttar Pradesh,SP,"1,00,994"
477,Sant Kabir Nagar,Laxmikant Pappu Nishad,Uttar Pradesh,SP,"92,170"
478,Maharajganj,Pankaj Chaudhary,Uttar Pradesh,BJP,"35,451"
479,Gorakhpur,Ravi Kishan,Uttar Pradesh,BJP,"1,03,526"
480,Kushi Nagar,Vijay Kumar Dubey,Uttar Pradesh,BJP,"81,790"
481,Deoria,Shashank Mani Tripathi,Uttar Pradesh,BJP,"34,842"
482,Bansgaon,Kamlesh Paswan,Uttar Pradesh,BJP,"3,150"
483,Lalganj,Daroga Prasad Saroj,Uttar Pradesh,SP,"1,15,023"
484,Azamgarh,Dharmendra Yadav,Uttar Pradesh,SP,"1,61,035"
485,Ghosi,Rajeev Rai,Uttar Pradesh,SP,"1,62,943"
486,Salempur,Ramashankar Rajbhar,Uttar Pradesh,SP,"3,573"
487,Ballia,Sanatan Pandey,Uttar Pradesh,SP,"43,384"
488,Jaunpur,Babu Singh Kushwaha,Uttar Pradesh,SP,"99,335"
489,Machhlishahr,Priya Saroj,Uttar Pradesh,SP,"35,850"
490,Ghazipur,Afzal Ansari,Uttar Pradesh,SP,"1,24,861"
491,Chandauli,Birendra Singh,Uttar Pradesh,SP,"21,565"
492,Varanasi,Narendra Modi,Uttar Pradesh,BJP,"1,52,513"
493,Bhadohi,Dr Vinod Kumar Bind,Uttar Pradesh,BJP,"44,072"
494,Mirzapur,Anupriya Patel,Uttar Pradesh,Apna Dal-S,"37,810"
495,Robertsganj,Chhotelal Kharwar,Uttar Pradesh,SP,"1,29,234"
496,Tehri Garhwal,Mala Rajya Lakshmi Shah,Uttarakhand,BJP,"2,72,493"
497,Garhwal,Anil Baluni,Uttarakhand,BJP,"1,63,503"
498,Almora,Ajay Tamta,Uttarakhand,BJP,"2,34,097"
499,Nainital-Udhamsingh Nagar,Ajay Bhatt,Uttarakhand,BJP,"3,34,548"
500,Haridwar,Trivendra Singh Rawat,Uttarakhand,BJP,"1,64,056"
501,Cooch Behar,Jagadish Chandra Barma Basunia,West Bengal,TMC,"39,250"
502,Alipurduars,Manoj Tigga,West Bengal,BJP,"75,447"
503,Jalpaiguri,Dr Jayanta Kumar Roy,West Bengal,BJP,"86,693"
504,Darjeeling,Raju Singh Bista,West Bengal,BJP,"1,78,525"
505,Raiganj,Kartick Chandra Paul,West Bengal,BJP,"68,197"
506,Balurghat,Sukanta Majumdar,West Bengal,BJP,"10,386"
507,Maldaha Uttar,Khagen Murmu,West Bengal,BJP,"77,708"
508,Maldaha Dakshin,Isha Khan Choudhury,West Bengal,Congress,"1,28,368"
509,Jangipur,Khalilur Rahaman,West Bengal,TMC,"1,16,637"
510,Baharampur,Yusuf Pathan,West Bengal,TMC,"85,022"
511,Murshidabad,Abu Taher Khan,West Bengal,TMC,"1,64,215"
512,Krishnanagar,Mahua Moitra,West Bengal,TMC,"56,705"
513,Ranaghat,Jagannath Sarkar,West Bengal,BJP,"1,86,899"
514,Bangaon,Shantanu Thakur,West Bengal,BJP,"73,693"
515,Barrackpore,Partha Bhowmick,West Bengal,TMC,"64,438"
516,Dum Dum,Sougata Roy,West Bengal,TMC,"70,660"
517,Barasat,Kakoli Ghosh Dastidar,West Bengal,TMC,"1,14,189"
518,Basirhat,Sk Nurul Islam,West Bengal,TMC,"3,33,547"
519,Jaynagar,Pratima Mondal,West Bengal,TMC,"4,70,219"
520,Mathurapur,Bapi Haldar,West Bengal,TMC,"2,01,057"
521,Diamond Harbour,Abhishek Banerjee,West Bengal,TMC,"7,10,930"
522,Jadavpur,Sayani Ghosh,West Bengal,TMC,"2,58,201"
523,Kolkata Dakshin,Mala Roy,West Bengal,TMC,"1,87,231"
524,Kolkata Uttar,Sudip Bandyopadhyay,West Bengal,TMC,"92,560"
525,Howrah,Prasun Banerjee,West Bengal,TMC,"1,69,442"
526,Uluberia,Sajda Ahmed,West Bengal,TMC,"2,18,673"
527,Sreerampur,Kalyan Banerjee,West Bengal,TMC,"1,74,830"
528,Hooghly,Rachna Banerjee,West Bengal,TMC,"76,853"
529,Arambagh,Mitali Bag,West Bengal,TMC,"6,399"
530,Tamluk,Abhijit Gangopadhyay,West Bengal,BJP,"77,733"
531,Kanthi,Soumendu Adhikari,West Bengal,BJP,"47,764"
532,Ghatal,Deepak Adhikari Dev,West Bengal,TMC,"1,82,868"
533,Jhargram,Kalipada Soren,West Bengal,TMC,"1,74,048"
534,Medinipur,June Maliah,West Bengal,TMC,"27,191"
535,Purulia,Jyotirmoy Singh Mahato,West Bengal,BJP,"17,079"
536,Bankura,Arup Chakraborty,West Bengal,TMC,"32,778"
537,Bishnupur,Saumitra Khan,West Bengal,BJP,"5,567"
538,Bardhaman Purba,Dr Sharmila Sarkar,West Bengal,TMC,"1,60,572"
539,Bardhaman-Durgapur,Kirti Jha Azad,West Bengal,TMC,"1,37,981"
540,Asansol,Shatrughan Sinha,West Bengal,TMC,"59,564"
541,Bolpur,Asit Kumar Mal,West Bengal,TMC,"3,27,253"
542,Birbhum,Satabdi Roy,West Bengal,TMC,"1,97,650"
543,Andaman and Nicobar Islands,Bishnu Pada Ray,Andaman and Nicobar Islands,BJP,"24,396"
